,DATE,TICKER,PRICE,RSI,ACTION,PROFIT
0,2020-08-07,SY,13.39,27.52,BUY,0
1,2020-08-03,SNAP,21.22,20.35,BUY,0
2,2020-08-07,WB,34.37,26.08,BUY,0
3,2020-08-14,IQ,19.26,19.24,BUY,0
4,2020-08-17,MARK,1.35,29.7,BUY,0
5,2020-08-20,BLIN,2.05,22.47,BUY,0
6,2020-08-25,LEE,0.89,24.36,BUY,0
7,2020-08-10,SINA,39.95,26.58,BUY,0
8,2020-08-18,HCHC,2.63,22.89,BUY,0
9,2020-08-03,IPDN,1.13,23.8,BUY,0
10,2020-08-13,WHLM,3.78,8.81,BUY,0
11,2020-08-25,LOV,5.09,21.2,BUY,0
12,2020-08-13,MTSL,1.44,17.73,BUY,0
13,2020-08-31,SNAP,22.59,74.15,SELL,1.370000000000001
14,2020-08-28,WB,38.49,85.86,SELL,4.1200000000000045
15,2020-08-28,IQ,21.43,74.84,SELL,2.169999999999998
16,2020-08-28,SINA,41.09,73.11,SELL,1.1400000000000006
